requirement_id,source_tara_ids,source_goal_ids,technical_security_requirement,rationale,allocated_control_ids,verification_method,linked_test_ids,status
"BMS-SEC-SEN-001","TARA-001","CG-001","The BMS shall reject a safety-relevant measurement that fails schema or configured numeric-validity checks and shall prevent that measurement from updating trusted state.","Invalid or malformed measurement data must not influence trusted battery-state decisions.","AC-001; AC-003","Automated unit, negative, boundary, and trusted-state assertions","SENS-001..009; SPOOF-SOC-002/003","BASELINED"
"BMS-SEC-SEN-002","TARA-001","CG-001","The BMS shall detect a configured excessive rate of change in SOC, voltage, current, or temperature and shall apply the requirement-defined FAIL, WARN, or degraded response.","A manipulated value may remain numerically valid while changing too quickly to be physically credible.","AC-002; AC-008","Stateful plausibility tests using configured limits and controlled time intervals","PLAUS-002..004; SENS-010..013","BASELINED"
"BMS-SEC-SEN-003","TARA-001","CG-001","The BMS shall evaluate configured cross-signal and redundant-source relationships before accepting affected battery-state data, and inconsistent data shall not update trusted state.","Independent range checks cannot detect every believable but internally inconsistent manipulation.","AC-002; AC-003","Cross-signal, redundant-source, and trusted-state update assertions","CROSS-002..005; SENS-014..019","BASELINED"
"BMS-SEC-COM-001","TARA-001; TARA-002","CG-001; CG-002","The BMS shall reject a protected message that is duplicate, stale, or out of order except where a documented wraparound or idempotency rule explicitly permits processing.","Previously valid messages may be replayed to influence measurements or commands after their valid context has expired.","AC-001; AC-007","Stateful counter, timestamp, duplicate, ordering, and wraparound tests","REPLAY-002..005; COMM-002..007; CMD-110","BASELINED"
"BMS-SEC-COM-002","TARA-001; TARA-002","CG-001; CG-002","The BMS shall distinguish source identity, authentication, and authorization and shall reject protected messages from unknown, revoked, unauthenticated, or unauthorized sources.","A valid identifier alone does not prove message origin or permission to influence BMS behavior.","AC-001; AC-004; AC-010","Identity, authentication, revocation, and authorization policy tests","SRC-002..005; COMM-008..011","BASELINED"
"BMS-SEC-COM-003","TARA-001; TARA-006","CG-001; CG-006","The BMS communication layer shall validate identifier, payload length, encoding, scaling, and configured integrity metadata before decoded values are used by trusted control logic.","Malformed or incorrectly decoded communication data must fail before reaching trusted processing.","AC-001; AC-007","Codec unit tests, malformed-frame tests, boundary tests, and structured fuzzing","CAN-002..008; COMM-012..017/021; FUZZ-001..005","BASELINED"
"BMS-SEC-AVA-001","TARA-006","CG-006","The BMS shall detect loss of each configured critical periodic message within its specified timeout and shall record and initiate the defined degraded or safe-state response.","Missing critical data can remove the BMS basis for trustworthy control and protection decisions.","AC-007; AC-008; AC-009","Deterministic timeout tests with explicit timing tolerances and safe-state assertions","AVAIL-002; COMM-018; RES-006","BASELINED"
"BMS-SEC-AVA-002","TARA-006","CG-006","The BMS validation and event-processing path shall bound queue, memory, and event-store growth under excessive traffic and shall remain responsive to higher-priority safety-relevant processing.","Unbounded traffic or evidence growth could exhaust resources and prevent timely processing.","AC-007; AC-009","Rate, queue-depth, bounded-storage, responsiveness, and resource-stress tests","AVAIL-003..005; COMM-019/020; RES-005","BASELINED"
"BMS-SEC-CMD-001","TARA-002","CG-002","The BMS shall execute a high-impact command only when source identity, authentication, freshness, authorization, and all applicable operating-state preconditions have passed validation.","Correctly formatted commands can still be dangerous when issued by the wrong identity, at the wrong time, or in the wrong state.","AC-004; AC-008","Command-policy and state-machine tests with explicit execution-blocking assertions","CMD-001..006; CMD-101..112","BASELINED"
"BMS-SEC-CMD-002","TARA-002","CG-002","The BMS shall reject contactor-close or charge/discharge-enable requests before successful precharge, during a disallowed FAULT or SAFE state, or from a source lacking explicit permission.","High-voltage transitions require both authorization and operating-state safeguards.","AC-004; AC-008","Negative command tests covering precharge, FAULT, SAFE, and unauthorized-source conditions","CMD-002..006; CMD-103..106","BASELINED"
"BMS-SEC-DIA-001","TARA-003","CG-003","The BMS diagnostic service shall enforce a product-defined authorization matrix based on session, security level, role, and operating-state preconditions for each protected service.","Diagnostic access must be limited according to both identity and current diagnostic or operating state.","AC-005; AC-010","Session, security-level, role, service, and operating-state matrix tests","DIAG-001..003; DIAG-101..103/107/108","BASELINED"
"BMS-SEC-DIA-002","TARA-003","CG-003","The BMS diagnostic service shall count unsuccessful security-access attempts and shall apply the configured delay or lockout policy without exposing secret key material.","Repeated unlock attempts must not enable unrestricted credential guessing or disclose protected information.","AC-005; AC-009","Invalid-key repetition, attempt-counter, delay, lockout, and information-exposure tests","DIAG-004; DIAG-104","BASELINED"
"BMS-SEC-DIA-003a","TARA-003","CG-003","The BMS shall accept programming operations only when the product-defined session, security, sequence, transfer, verification, and reset preconditions are satisfied.","Programming must follow an explicitly authorized and ordered procedure.","AC-005; AC-006; AC-008","Positive programming-sequence test with every required precondition satisfied","DIAG-006/009; DIAG-109","BASELINED"
"BMS-SEC-DIA-003b","TARA-003","CG-003","The BMS shall reject a programming operation when any required session, security, sequence, transfer, verification, or reset precondition is unsatisfied.","A missing programming precondition must not be treated as an acceptable default.","AC-005; AC-006; AC-008","Negative programming tests that remove or reorder one required precondition at a time","DIAG-003/005; DIAG-103/105/106","BASELINED"
"BMS-SEC-DIA-003c","TARA-003","CG-003","The BMS shall recover to a defined safe condition after an interrupted programming operation.","An interrupted update must not leave the simulated controller in an undefined or unsafe state.","AC-005; AC-006; AC-008","Interrupted-programming and controlled-recovery simulation","DIAG-005; DIAG-106","BASELINED"
"BMS-SEC-CFG-001","TARA-005","CG-005","The BMS shall accept configuration or calibration only when its identifier, approved hash or version, hardware or profile compatibility, configured ranges, and required parameter relationships are valid.","Correctly signed software can still operate unsafely when paired with altered or incompatible configuration.","AC-006","Configuration hash, version, compatibility, range, and relationship tests","CFG-001..005; SW-001..005","BASELINED"
"BMS-SEC-CFG-002","TARA-005","CG-005","The BMS shall record the authorized identity, timestamp, previous value, and new value for every approved protected configuration change.","Approved changes must remain attributable and reproducible for investigation and rollback decisions.","AC-006; AC-009","Approved-change audit-record tests and evidence-schema validation","CFG-006; EVID-001/006","BASELINED"
"BMS-SEC-FW-001","TARA-004","CG-004","The BMS shall activate software only after validating signer trust, package signature, image integrity, intended target, and hardware compatibility.","Only authentic, intact, and compatible software may reach activation.","AC-006; AC-010","Ed25519 signature, SHA-256 image digest, signer, target, and compatibility tests","FW-001..004/008; SW-006..009/011/014","BASELINED"
"BMS-SEC-FW-002","TARA-004","CG-004","The BMS shall reject an update whose security version is lower than the accepted anti-rollback value unless a separately authorized recovery policy explicitly permits it.","A validly signed older version may reintroduce a known weakness.","AC-006","Security-version and authorized-recovery-policy tests","FW-005/017; SW-010","BASELINED"
"BMS-SEC-FW-003","TARA-004","CG-004","The BMS shall preserve a recoverable state during interrupted installation and shall roll back or remain in a defined safe condition when post-installation verification fails.","Installation interruption or failed health verification must not leave an unrecoverable or unsafe controller state.","AC-006; AC-008","Power-loss, failed-health-check, rollback, and recovery-image tests","FW-006/007; SW-012..014","BASELINED"
"BMS-SEC-FW-004","TARA-004","CG-004","The secure-boot design shall anchor verification in a protected trusted-public-key store and shall not place firmware-signing private keys in the BMS runtime package or source repository.","The verification root must remain separate from signing secrets and ordinary runtime storage.","AC-006; AC-010","Design inspection, repository scan, trusted-key-store tests, and key-rotation tests","FW-009/012/013; design inspection","BASELINED"
"BMS-SEC-FW-005a","TARA-004","CG-004","The secure-boot verifier shall fail closed on malformed signatures, unknown or revoked keys, hash mismatch, cryptographic-provider error, or incomplete verification.","Cryptographic errors must never produce an implicit successful verification result.","AC-006; AC-008; AC-010","Negative cryptographic tests with explicit fail-closed assertions","FW-002/003/008..011/014/015","BASELINED"
"BMS-SEC-FW-005b","TARA-004","CG-004","The secure-boot verifier shall not transfer execution to an unverified image.","Verification and execution authorization must remain separate, and failed verification must block execution.","AC-006; AC-008; AC-010","Execution-gate assertions following every failed verification path","FW-002/003/008..011/014/015","BASELINED"
"BMS-SEC-FW-006","TARA-004","CG-004","The secure-boot verifier shall compute verification hashes over the exact stored image bytes that will be executed, and modification of the image after verification and before activation shall prevent execution.","Rechecking the exact stored bytes prevents a time-of-check to time-of-use substitution.","AC-006; AC-010","Verify-to-execute test that modifies stored image bytes after initial verification","FW-015; SW-021","BASELINED"
"BMS-SEC-OT-001","TARA-007","CG-007","The optional BESS interface shall accept protected write requests only from a currently authenticated client whose role, network zone, function, and register range are authorized.","Remote identity alone is insufficient without role, segmentation, function, and address authorization.","AC-007; AC-010","Local mock Modbus and network-policy tests covering identity, role, zone, function, range, and rate","NET-001..007; OT-001..010","BASELINED"
"BMS-SEC-EVI-001a","TARA-008","CG-008","The validation framework shall record the campaign, test, TARA, cybersecurity goal, technical requirement, and architecture-control identifiers for each executed test.","Every verdict must remain connected to the engineering reason the test exists.","AC-009","Evidence-schema tests for identification and traceability fields","EVID-001..006; RES-009..012","BASELINED"
"BMS-SEC-EVI-001b","TARA-008","CG-008","The validation framework shall record the exact input, preconditions, environment, timestamp, and code version for each executed test.","A result cannot be reproduced unless its execution context is preserved.","AC-009","Evidence-schema and restart tests for execution-context fields","EVID-001..006; RES-009..012","BASELINED"
"BMS-SEC-EVI-001c","TARA-008","CG-008","The validation framework shall record the expected result, observed result, status, reasons, evidence paths, and previous-record hash for each executed test.","Complete outcomes and hash-linked history are required for accountable findings, remediation, retest, and closure.","AC-009","Evidence completeness, hash-chain, campaign-digest, restart, and retest tests","EVID-001..006; RES-009..012","BASELINED"
"BMS-SEC-EVI-002","TARA-008","CG-008","The validation framework shall classify execution, validator, checkpoint, or evidence-storage failures as ERROR or BLOCKED and shall never convert them to PASS.","Framework failure is not evidence that the security requirement passed.","AC-009","Injected execution, validator, checkpoint, and storage-failure tests","RES-001..004; EVID-006","BASELINED"
"BMS-SEC-REC-001","TARA-006; TARA-008","CG-006; CG-008","The BMS simulation shall map each defined loss-of-confidence class to a deterministic, operating-mode-dependent degraded or safe action defined with the safety process, preserve original evidence, and permit recovery only through an authorized validated transition.","Loss of trusted data or control must produce predictable behavior without treating stale information as current truth.","AC-008; AC-009","Operating-mode safe-state, stale-state, evidence-preservation, and authorized-recovery tests","SAFE-001..006; RES-006..008","BASELINED"
"BMS-SEC-DBG-001","TARA-009","CG-009","The BMS shall reject debug, bootloader, or console access outside an authorized lifecycle state or without authenticated authorization, and shall log each rejected attempt.","Debug and boot interfaces can bypass message-level controls and therefore require lifecycle and authentication enforcement.","AC-005; AC-010","Debug-policy model tests covering operational rejection, unauthorized bootloader entry, authorized service access, and audit logging","DBG-001..003","BASELINED"
